Table Name,Column Name,Data Type,Data Length,Nullable
PRODUCT_MASTER,CREATE_TIMESTAMP,DATE,7,N
PRODUCT_MASTER,UNSPSC_CODE,VARCHAR2,8,N
PRODUCT_MASTER,LAST_UPDATE_ID,VARCHAR2,30,N
PRODUCT_MASTER,LAST_UPDATE_TIMESTAMP,DATE,7,N
PRODUCT_MASTER,FUTURE_CORPORATION_CODE,VARCHAR2,4,Y
PRODUCT_MASTER,PRODUCT_KEY,NUMBER,22,N
PRODUCT_MASTER,PRODUCT_TYPE_KEY,NUMBER,22,N
PRODUCT_MASTER,PRODUCT_CLASS_ID,VARCHAR2,4,N
PRODUCT_MASTER,CORPORATE_PRODUCT_LINE_CODE,VARCHAR2,4,N
PRODUCT_MASTER,ORIGINATING_COMPANY_CODE,VARCHAR2,10,N
PRODUCT_MASTER,GENERIC_CATEGORY_CODE,VARCHAR2,2,Y
PRODUCT_MASTER,PRODUCT_CATEGORY_CODE,VARCHAR2,2,N
PRODUCT_MASTER,PRODUCT_ID,VARCHAR2,30,N
PRODUCT_MASTER,PRODUCT_UNFORMATTED_ID,VARCHAR2,30,N
PRODUCT_MASTER,SPONSOR_ORGANIZATION_KEY,NUMBER,22,N
PRODUCT_MASTER,CREATE_ID,VARCHAR2,30,N
